가게이름,가게종류,별점,후기 개수,후기 링크,리뷰 개수,리뷰 링크,주소,지번주소,운영시간,가게 상세보기,가게 전화번호,가게 URL(M과비슷),SNS/웹 홈페이지
엘리스리틀이태리,양식,3.9,58건,https://place.map.kakao.com/1590097394#comment,리뷰 127,https://place.map.kakao.com/1590097394#review,서울 마포구 백범로 152 공덕파크자이 201동 1층 8호,(지번) 공덕동 477,매일 11:30 ~ 22:00 · 브레이크타임 매일 15:00 ~ 17:30,https://place.map.kakao.com/1590097394?openhour=1,010-2668-3033,no_link,https://app.catchtable.co.kr/ct/shop/ellielittleitary_gongduk
룸서비스301,카페,(30),후기 미제공,no_link,리뷰 224,https://place.map.kakao.com/1646206397#review,서울 강남구 양재천로 193 3층 301호,(지번) 도곡동 454-10,화~일 12:00 ~ 21:00,https://place.map.kakao.com/1646206397?openhour=1,홈페이지,https://www.instagram.com/roomservice301,
이정웅 스페이스,미술관,3.4,29건,https://place.map.kakao.com/1870904485#comment,리뷰 91,https://place.map.kakao.com/1870904485#review,경기 가평군 청평면 북한강로 1921,(지번) 청평면 삼회리 271-5,"영업시간 월,목,금 11:00 ~ 18:00",https://place.map.kakao.com/1870904485?openhour=1,031-585-1469,no_link,http://blog.naver.com/iandartcompany
풍림다방 송당점,커피전문점,3.4,172건,https://place.map.kakao.com/812803632#comment,리뷰 448,https://place.map.kakao.com/812803632#review,제주특별자치도 제주시 구좌읍 중산간동로 2267-4,(지번) 구좌읍 송당리 1377-1,영업시간 매일 10:30 ~ 18:00,https://place.map.kakao.com/812803632?openhour=1,064-111-1111,no_link,https://www.instagram.com/poonglim_dabang
석사왕막걸리,"호프,요리주점",4.3,10건,https://place.map.kakao.com/10487822#comment,리뷰 29,https://place.map.kakao.com/10487822#review,강원 춘천시 후석로59번길 16-14,(지번) 석사동 648-14,월~토 16:00 ~ 24:00,https://place.map.kakao.com/10487822?openhour=1,033-262-3397,no_link,
모립,카페,3.2,49건,https://place.map.kakao.com/842886196#comment,리뷰 190,https://place.map.kakao.com/842886196#review,제주특별자치도 제주시 애월읍 애월로1길 26-7,(지번) 애월읍 애월리 2537,매일 11:00 ~ 19:30,https://place.map.kakao.com/842886196?openhour=1,상세보기,https://place.map.kakao.com/842886196,https://www.instagram.com/moripcoffee
카페아라,테마카페,3.8,29건,https://place.map.kakao.com/2072319170#comment,리뷰 64,https://place.map.kakao.com/2072319170#review,경기 수원시 영통구 청명로21번길 19 1층,(지번) 영통동 1013-1,월~금 10:00 ~ 23:00,https://place.map.kakao.com/2072319170?openhour=1,031-211-5363,no_link,
송강커피,커피전문점,4.7,36건,https://place.map.kakao.com/886819416#comment,리뷰 71,https://place.map.kakao.com/886819416#review,경기 오산시 궐리사로 63 2층,(지번) 궐동 631-2,수~토 11:00 ~ 23:00,https://place.map.kakao.com/886819416?openhour=1,031-378-0418,no_link,https://www.instagram.com/songkangcoffee
페를로,이탈리안,3.7,59건,https://place.map.kakao.com/334369411#comment,리뷰 89,https://place.map.kakao.com/334369411#review,제주특별자치도 서귀포시 안덕면 덕수회관로74번길 33 1층,(지번) 안덕면 덕수리 2155-4,매일 11:30 ~ 21:30 · 브레이크타임 매일 15:30 ~ 17:30,https://place.map.kakao.com/334369411?openhour=1,010-5752-9501,no_link,http://www.instagram.com/perlo_jeju
국수명가,국수,4.1,21건,https://place.map.kakao.com/22962386#comment,리뷰 43,https://place.map.kakao.com/22962386#review,부산 수영구 망미번영로52번길 5,(지번) 수영동 465-16,월~토 11:30 ~ 19:30,https://place.map.kakao.com/22962386?openhour=1,051-918-0098,no_link,
어프로치커피,카페,2.9,79건,https://place.map.kakao.com/1884738430#comment,리뷰 51,https://place.map.kakao.com/1884738430#review,서울 용산구 한강대로40길 18-3,(지번) 한강로2가 154,매일 10:00 ~ 22:00,https://place.map.kakao.com/1884738430?openhour=1,상세보기,https://place.map.kakao.com/1884738430,https://www.instagram.com/approachcoffee_/
더수플레,디저트카페,4.1,26건,https://place.map.kakao.com/125788816#comment,리뷰 140,https://place.map.kakao.com/125788816#review,경기 안산시 단원구 광덕3로 135-18 월드타워 112호,(지번) 고잔동 705-11,"월,화,목,금,토,일 11:30 ~ 23:00",https://place.map.kakao.com/125788816?openhour=1,070-8833-7215,no_link,
전포밥집,한식,(30),후기 미제공,no_link,리뷰 122,https://place.map.kakao.com/1765972985#review,부산 부산진구 전포대로186번길 28 1층,(지번) 전포동 355-11,목요일 휴무,https://place.map.kakao.com/1765972985?openhour=1,051-818-2330,https://place.map.kakao.com/1765972985,http://instagram.com/jeonpo_bobjeep
스지고집,술집,3.5,13건,https://place.map.kakao.com/402530261#comment,리뷰 154,https://place.map.kakao.com/402530261#review,부산 동래구 충렬대로359번길 54,(지번) 안락동 429-44,월~토 17:00 ~ 01:00,https://place.map.kakao.com/402530261?openhour=1,상세보기,https://place.map.kakao.com/402530261,
인생밥집 한림협재본점,한식,3.6,34건,https://place.map.kakao.com/1468777239#comment,리뷰 72,https://place.map.kakao.com/1468777239#review,제주특별자치도 제주시 한림읍 문교길 6 1층 인생밥집,(지번) 한림읍 한림리 940-3,영업시간 월~토 10:00 ~ 18:00,https://place.map.kakao.com/1468777239?openhour=1,010-6501-5073,no_link,http://instagram.com/ninano_jeju
안쵸비,이탈리안,4.0,41건,https://place.map.kakao.com/2018296769#comment,리뷰 76,https://place.map.kakao.com/2018296769#review,부산 수영구 민락본동로19번길 40 1층,(지번) 민락동 24-31,월~토 12:00 ~ 21:00 · 브레이크타임 월~토 15:30 ~ 17:30,https://place.map.kakao.com/2018296769?openhour=1,010-2807-7303,no_link,https://www.instagram.com/anchovy_cuisine/
홍차왕자 본점,카페,4.8,18건,https://place.map.kakao.com/1611821901#comment,리뷰 105,https://place.map.kakao.com/1611821901#review,경남 양산시 신명3길 144,(지번) 주진동 583-6,화~일 11:00 ~ 21:00,https://place.map.kakao.com/1611821901?openhour=1,055-388-6267,no_link,
리묘,디저트카페,(30),후기 미제공,no_link,리뷰 169,https://place.map.kakao.com/900406964#review,경남 거제시 둔덕면 하둔길 49,(지번) 둔덕면 하둔리 405-14,영업시간 수~일 11:00 ~ 18:00,https://place.map.kakao.com/900406964?openhour=1,055-634-1811,https://place.map.kakao.com/900406964,https://www.instagram.com/limyo_/
더홈서울,커피전문점,3.7,25건,https://place.map.kakao.com/595329992#comment,리뷰 95,https://place.map.kakao.com/595329992#review,서울 성북구 고려대로1길 87,(지번) 삼선동5가 357,"월,수,목,금,토,일 13:00 ~ 22:00",https://place.map.kakao.com/595329992?openhour=1,상세보기,https://place.map.kakao.com/595329992,https://www.instagram.com/the_home_seoul/
수월경화,카페,3.8,39건,https://place.map.kakao.com/148813545#comment,리뷰 499,https://place.map.kakao.com/148813545#review,부산 해운대구 송정중앙로6번길 188 4층,(지번) 송정동 442-2,매일 11:00 ~ 21:00,https://place.map.kakao.com/148813545?openhour=1,상세보기,https://place.map.kakao.com/148813545,https://instagram.com/ritual_of_swgh
조순금닭도리탕 본점,닭요리,2.9,17건,https://place.map.kakao.com/19401418#comment,리뷰 122,https://place.map.kakao.com/19401418#review,경기 안산시 상록구 본삼로 39 6층,(지번) 본오동 873-11,매일 12:00 ~ 23:00,https://place.map.kakao.com/19401418?openhour=1,031-501-1007,no_link,
세러데이아일랜드,양식,3.5,39건,https://place.map.kakao.com/2067002770#comment,리뷰 62,https://place.map.kakao.com/2067002770#review,제주특별자치도 제주시 구좌읍 평대7길 51 1층,(지번) 구좌읍 평대리 2007-1,기간 2022년 9월 1일 ~ 2022년 10월 31일,https://place.map.kakao.com/2067002770?openhour=1,0507-1471-2822,no_link,https://instagram.com/saturdayisland_a
모알보알 제주,카페,3.4,96건,https://place.map.kakao.com/923804248#comment,리뷰 260,https://place.map.kakao.com/923804248#review,제주특별자치도 제주시 구좌읍 구좌해안로 141,(지번) 구좌읍 김녕리 6159,영업시간 매일 10:00 ~ 18:30,https://place.map.kakao.com/923804248?openhour=1,상세보기,https://place.map.kakao.com/923804248,http://instagram.com/moalboal.jeju
홉스피제리아 다대포점,패밀리레스토랑,4.1,11건,https://place.map.kakao.com/2050314176#comment,리뷰 37,https://place.map.kakao.com/2050314176#review,"부산 사하구 다대낙조2길 85 케이프포인트빌딩 5층 504,505호",(지번) 다대동 1548,매일 11:30 ~ 22:00,https://place.map.kakao.com/2050314176?openhour=1,상세보기,https://place.map.kakao.com/2050314176,
고매커피,카페,4.3,157건,https://place.map.kakao.com/1091999164#comment,리뷰 700,https://place.map.kakao.com/1091999164#review,경기 용인시 기흥구 원고매로2번길 85-2,(지번) 고매동 245-2,매일 11:00 ~ 21:00,https://place.map.kakao.com/1091999164?openhour=1,상세보기,https://place.map.kakao.com/1091999164,http://www.instagram.com/gomaecoffee
이누식당,이탈리안,4.0,24건,https://place.map.kakao.com/3800303#comment,리뷰 101,https://place.map.kakao.com/3800303#review,서울 서초구 서초대로27길 33 1층,(지번) 방배동 850-31,화~토 11:30 ~ 22:00 · 브레이크타임 화~토 14:00 ~ 18:00,https://place.map.kakao.com/3800303?openhour=1,010-9337-8947,no_link,https://www.instagram.com/inoo_j
카페라쿠나,카페,1.8,33건,https://place.map.kakao.com/26953998#comment,리뷰 6,https://place.map.kakao.com/26953998#review,경기 가평군 청평면 호반로 844,(지번) 청평면 고성리 775-3,영업시간 매일 09:00 ~ 18:30,https://place.map.kakao.com/26953998?openhour=1,상세보기,https://place.map.kakao.com/26953998,
쌍곰다방,카페,3.6,8건,https://place.map.kakao.com/12171430#comment,리뷰 183,https://place.map.kakao.com/12171430#review,인천 옹진군 영흥면 선재로34번길 64 2층,(지번) 영흥면 선재리 108-47,"영업시간 월,화,목,금 10:30 ~ 18:00",https://place.map.kakao.com/12171430?openhour=1,070-8228-7881,no_link,http://www.instagram.com/ssanggomdabang
베리앙 커피로스터스,카페,3.5,14건,https://place.map.kakao.com/36115475#comment,리뷰 46,https://place.map.kakao.com/36115475#review,경남 창원시 의창구 북면 천주로1184번길 84,(지번) 북면 신촌리 1533-7,매일 12:00 ~ 21:00,https://place.map.kakao.com/36115475?openhour=1,055-713-1116,no_link,http://www.instagram.com/veryang_cafe
개들의수다,애견카페,4.4,10건,https://place.map.kakao.com/1998182873#comment,리뷰 54,https://place.map.kakao.com/1998182873#review,경기 김포시 고촌읍 은행영사정로51번길 42 1층,(지번) 고촌읍 신곡리 394-1,목요일 휴무,https://place.map.kakao.com/1998182873?openhour=1,031-989-4518,no_link,
더피아노,갤러리카페,2.9,75건,https://place.map.kakao.com/190917721#comment,리뷰 154,https://place.map.kakao.com/190917721#review,서울 종로구 평창6길 71 1층,(지번) 평창동 444-1,영업시간 매일 11:00 ~ 19:00,https://place.map.kakao.com/190917721?openhour=1,02-395-2480,no_link,http://www.instagram.com/thepiano_official
그라운독,애견카페,3.3,9건,https://place.map.kakao.com/160035362#comment,리뷰 73,https://place.map.kakao.com/160035362#review,경기 남양주시 진접읍 금강로1633번길 81-3,(지번) 진접읍 장현리 148-9,화~일 11:00 ~ 20:00,https://place.map.kakao.com/160035362?openhour=1,0507-1315-9673,no_link,http://www.instagram.com/groun_dog
하도핑크,이탈리안,(30),후기 미제공,no_link,리뷰 103,https://place.map.kakao.com/1053296146#review,제주특별자치도 제주시 구좌읍 문주란로1길 43 1층,(지번) 구좌읍 하도리 1624-9,영업시간 목 11:00 ~ 14:00,https://place.map.kakao.com/1053296146?openhour=1,070-8801-5650,https://place.map.kakao.com/1053296146,https://www.instagram.com/hadopink_jeju
르미엘,카페,(30),후기 미제공,no_link,리뷰 82,https://place.map.kakao.com/20633982#review,강원 원주시 봉바위길 13 1층,(지번) 무실동 1831-16,상세보기,https://place.map.kakao.com/20633982,033-747-8617,https://instagram.com/lemielcake_,
태그원,카페,2.9,19건,https://place.map.kakao.com/277329364#comment,리뷰 127,https://place.map.kakao.com/277329364#review,"충북 청주시 상당구 상당로115번길 36 1, 2동 1, 2층",(지번) 북문로2가 83-9,매일 10:30 ~ 22:00,https://place.map.kakao.com/277329364?openhour=1,상세보기,https://place.map.kakao.com/277329364,
크로프트커피,커피전문점,3.7,37건,https://place.map.kakao.com/1176207255#comment,리뷰 69,https://place.map.kakao.com/1176207255#review,강원 춘천시 가연길16번길 6,(지번) 낙원동 117-6,영업시간 목 12:00 ~ 18:00,https://place.map.kakao.com/1176207255?openhour=1,033-255-1176,no_link,https://www.instagram.com/croft_coffee/
달이머무는집,펜션,4.0,4건,https://place.map.kakao.com/24440900#comment,리뷰 19,https://place.map.kakao.com/24440900#review,충북 영동군 황간면 월류봉길 57,(지번) 황간면 원촌리 124-5,Hidden Link,https://map.kakao.com/?q=%EB%85%B8%ED%82%A4%EC%A6%88%EC%A1%B4,043-742-4347,https://place.map.kakao.com/24440900,
무이림,숙박,2.9,8건,https://place.map.kakao.com/1266342235#comment,리뷰 36,https://place.map.kakao.com/1266342235#review,충남 태안군 소원면 대소산길 350-87,(지번) 소원면 송현리 610-10,Hidden Link,https://map.kakao.com/?q=%EB%85%B8%ED%82%A4%EC%A6%88%EC%A1%B4,041-673-3587,https://place.map.kakao.com/1266342235,http://muirim.com
카페고물상,카페,4.4,7건,https://place.map.kakao.com/182576483#comment,리뷰 91,https://place.map.kakao.com/182576483#review,"부산 해운대구 좌동로63번길 15 지하 1층, 1층",(지번) 중동 217-2,"월,목,금,토,일 11:00 ~ 20:00",https://place.map.kakao.com/182576483?openhour=1,051-731-3735,no_link,https://instagram.com/cafe_gomulsang
난식당1974,한식,3.6,33건,https://place.map.kakao.com/1690378458#comment,리뷰 77,https://place.map.kakao.com/1690378458#review,"경북 경주시 영불로 261 6동 4, 5호",(지번) 진현동 71-10,화~일 11:00 ~ 20:00 · 브레이크타임 화~일 15:00 ~ 17:00,https://place.map.kakao.com/1690378458?openhour=1,054-742-0460,no_link,
호시카츠,"돈까스,우동",3.8,31건,https://place.map.kakao.com/312436991#comment,리뷰 113,https://place.map.kakao.com/312436991#review,서울 강남구 도산대로83길 17 1층,(지번) 청담동 117-38,월~토 11:30 ~ 21:00 · 브레이크타임 월~토 15:00 ~ 17:30,https://place.map.kakao.com/312436991?openhour=1,상세보기,https://place.map.kakao.com/312436991,
투닷츠,커피전문점,4.1,11건,https://place.map.kakao.com/980874262#comment,리뷰 83,https://place.map.kakao.com/980874262#review,충남 천안시 서북구 불당30길 7-7 1층,(지번) 불당동 1770,매일 11:00 ~ 23:00,https://place.map.kakao.com/980874262?openhour=1,041-557-1770,no_link,http://www.instagram.com/cafe_twodots
SOE,카페,3.1,14건,https://place.map.kakao.com/1589406892#comment,리뷰 133,https://place.map.kakao.com/1589406892#review,경기 부천시 역곡로258번길 21,(지번) 작동 372-1,매일 10:00 ~ 23:00,https://place.map.kakao.com/1589406892?openhour=1,상세보기,https://place.map.kakao.com/1589406892,
카페비타리카,카페,4.5,8건,https://place.map.kakao.com/2140523231#comment,리뷰 37,https://place.map.kakao.com/2140523231#review,부산 사상구 백양대로 569,(지번) 감전동 41-7,매일 10:00 ~ 24:00,https://place.map.kakao.com/2140523231?openhour=1,051-328-0077,no_link,
소소펜션,펜션,3.8,5건,https://place.map.kakao.com/13725847#comment,리뷰 68,https://place.map.kakao.com/13725847#review,충남 태안군 남면 안면대로 1296-36,(지번) 남면 양잠리 1230-86,Hidden Link,https://map.kakao.com/?q=%EB%85%B8%ED%82%A4%EC%A6%88%EC%A1%B4,010-2473-3442,https://place.map.kakao.com/13725847,http://www.sosohouse.co.kr
낫온리커피어반델리,카페,3.7,15건,https://place.map.kakao.com/461158815#comment,리뷰 19,https://place.map.kakao.com/461158815#review,대구 수성구 용학로 106-7,(지번) 두산동 888-2,매일 10:00 ~ 24:00,https://place.map.kakao.com/461158815?openhour=1,053-795-5588,no_link,
유달유업,카페,3.3,10건,https://place.map.kakao.com/703630957#comment,리뷰 83,https://place.map.kakao.com/703630957#review,전남 목포시 북항로 119,(지번) 죽교동 580-20,"화,수,목,일 12:00 ~ 21:00",https://place.map.kakao.com/703630957?openhour=1,070-4090-0406,no_link,https://www.facebook.com/yudal.cafe
달사막,"호프,요리주점",3.9,35건,https://place.map.kakao.com/893994670#comment,리뷰 65,https://place.map.kakao.com/893994670#review,제주특별자치도 제주시 조천읍 함덕로 26 1층,(지번) 조천읍 함덕리 272-28,"월,화,목,금,토,일 18:00 ~ 02:00",https://place.map.kakao.com/893994670?openhour=1,010-7702-7278,no_link,http://instagram.com/dalsamac_chichinango
일다,카페,2.9,13건,https://place.map.kakao.com/1986212035#comment,리뷰 155,https://place.map.kakao.com/1986212035#review,광주 동구 동계천로 159-10,(지번) 동명동 66-8,매일 12:00 ~ 23:00,https://place.map.kakao.com/1986212035?openhour=1,상세보기,https://place.map.kakao.com/1986212035,
레이식당 (휴업중),일식집,4.5,58건,https://place.map.kakao.com/1932996914#comment,리뷰 62,https://place.map.kakao.com/1932996914#review,제주특별자치도 제주시 구좌읍 해맞이해안로 1156-5,(지번) 구좌읍 평대리 2022-5,Hidden Link,https://map.kakao.com/?q=%EB%85%B8%ED%82%A4%EC%A6%88%EC%A1%B4,064-782-1893,https://place.map.kakao.com/1932996914,http://www.instagram.com/reikitchen1156_5
로터스커피,디저트카페,3.1,17건,https://place.map.kakao.com/2074588358#comment,리뷰 157,https://place.map.kakao.com/2074588358#review,"경남 진주시 정촌면 강주길 24 1동 1, 2층",(지번) 정촌면 예하리 908-6,매일 10:00 ~ 22:00,https://place.map.kakao.com/2074588358?openhour=1,상세보기,https://place.map.kakao.com/2074588358,
충주카누캠핑장,"야영,캠핑장",2.2,13건,https://place.map.kakao.com/27126781#comment,리뷰 106,https://place.map.kakao.com/27126781#review,충북 충주시 동량면 지등로 1276-4,(지번) 동량면 화암리 340,Hidden Link,https://map.kakao.com/?q=%EB%85%B8%ED%82%A4%EC%A6%88%EC%A1%B4,010-4479-5587,https://place.map.kakao.com/27126781,http://cafe.naver.com/canoeguy
달리아,카페,3.7,3건,https://place.map.kakao.com/21484242#comment,리뷰 69,https://place.map.kakao.com/21484242#review,경남 김해시 인제로 433,(지번) 삼방동 1092-1,매일 11:30 ~ 21:30,https://place.map.kakao.com/21484242?openhour=1,055-325-9001,no_link,
갤러리안나,갤러리카페,4.5,6건,https://place.map.kakao.com/1089604521#comment,리뷰 65,https://place.map.kakao.com/1089604521#review,경북 칠곡군 가산면 학산3길 86,(지번) 가산면 학산리 60,화~일 11:00 ~ 20:00,https://place.map.kakao.com/1089604521?openhour=1,054-971-0386,no_link,https://galleryanna.modoo.at
리스너,커피전문점,4.4,13건,https://place.map.kakao.com/1580756376#comment,리뷰 65,https://place.map.kakao.com/1580756376#review,대구 북구 학정동로13길 7-1 1층,(지번) 학정동 947-15,"월,수,목,금,토,일 11:30 ~ 20:30",https://place.map.kakao.com/1580756376?openhour=1,0507-1305-0072,no_link,https://www.instagram.com/listener_cannele
펠리스뻬로,고양이카페,4.0,34건,https://place.map.kakao.com/580895444#comment,리뷰 19,https://place.map.kakao.com/580895444#review,경기 용인시 기흥구 동탄기흥로785번길 21-3,(지번) 고매동 541-6,매일 13:00 ~ 02:00,https://place.map.kakao.com/580895444?openhour=1,상세보기,https://place.map.kakao.com/580895444,
고도커피바,카페,3.5,28건,https://place.map.kakao.com/1383768158#comment,리뷰 117,https://place.map.kakao.com/1383768158#review,경북 경주시 손효자길 22,(지번) 황남동 254,영업시간 매일 11:00 ~ 18:00,https://place.map.kakao.com/1383768158?openhour=1,상세보기,https://place.map.kakao.com/1383768158,https://www.instagram.com/kodocoffeebar/
하롱하롱,카페,2.9,48건,https://place.map.kakao.com/94707509#comment,리뷰 95,https://place.map.kakao.com/94707509#review,서울 강서구 마곡서로 152,(지번) 마곡동 759-1,월~금 10:00 ~ 22:00,https://place.map.kakao.com/94707509?openhour=1,상세보기,https://place.map.kakao.com/94707509,
루체인알티스,애견카페,4.0,9건,https://place.map.kakao.com/1236404102#comment,리뷰 52,https://place.map.kakao.com/1236404102#review,경기 안양시 만안구 태평로60번길 42 센트럴타워 508호,(지번) 안양동 1390-4,화~일 12:00 ~ 22:00,https://place.map.kakao.com/1236404102?openhour=1,010-2676-2081,no_link,https://www.instagram.com/luce._.in._.altis
오스테리아308,이탈리안,3.6,40건,https://place.map.kakao.com/27324859#comment,리뷰 28,https://place.map.kakao.com/27324859#review,경기 하남시 미사강변중앙로 173 리버에비뉴 3층 306호,(지번) 망월동 1102,화~토 11:00 ~ 21:30 · 브레이크타임 화~토 15:00 ~ 17:30,https://place.map.kakao.com/27324859?openhour=1,070-8834-6673,no_link,https://www.facebook.com/osteria308
스트롤링커피,디저트카페,4.2,17건,https://place.map.kakao.com/1041154502#comment,리뷰 84,https://place.map.kakao.com/1041154502#review,경남 양산시 원동면 화제로 190 1층,(지번) 원동면 화제리 360-2,영업시간 월~금 10:30 ~ 19:00,https://place.map.kakao.com/1041154502?openhour=1,055-372-7060,no_link,https://www.instagram.com/strollingcoffee
모노라보르,갤러리카페,4.6,11건,https://place.map.kakao.com/959190882#comment,리뷰 168,https://place.map.kakao.com/959190882#review,광주 북구 일곡마을로 148 2층,(지번) 일곡동 398-1,화~일 12:00 ~ 21:00,https://place.map.kakao.com/959190882?openhour=1,010-8986-0558,no_link,https://www.instagram.com/monolabor/
이상향,중식,3.7,23건,https://place.map.kakao.com/1717280022#comment,리뷰 34,https://place.map.kakao.com/1717280022#review,서울 은평구 진흥로5길 17 1층,(지번) 역촌동 40-8,월~토 18:00 ~ 02:00,https://place.map.kakao.com/1717280022?openhour=1,070-4045-7206,no_link,https://www.instagram.com/esanghyang/
페이퍼마쉐,카페,3.0,54건,https://place.map.kakao.com/236480957#comment,리뷰 260,https://place.map.kakao.com/236480957#review,서울 종로구 무교로 40,(지번) 서린동 128-2,월~금 07:30 ~ 22:00,https://place.map.kakao.com/236480957?openhour=1,02-733-5854,no_link,https://www.instagram.com/paper_mache40/
스페이스오드,카페,3.7,9건,https://place.map.kakao.com/115355013#comment,리뷰 126,https://place.map.kakao.com/115355013#review,울산 울주군 삼동면 대암둔기로 193 2층 215호,(지번) 삼동면 둔기리 382,화~일 11:00 ~ 22:00,https://place.map.kakao.com/115355013?openhour=1,052-263-3030,no_link,https://www.instagram.com/oddsamdong/
소보리당로222,카페,4.3,29건,https://place.map.kakao.com/884276488#comment,리뷰 93,https://place.map.kakao.com/884276488#review,제주특별자치도 서귀포시 소보리당로 222,(지번) 상예동 2850-5,영업시간 수~일 12:00 ~ 18:00,https://place.map.kakao.com/884276488?openhour=1,010-3832-7896,no_link,http://www.instagram.com/my.lumar
쁘띠따블 범어본점,양식,4.2,11건,https://place.map.kakao.com/1928466344#comment,리뷰 15,https://place.map.kakao.com/1928466344#review,대구 수성구 범어천로 90,(지번) 범어동 782-2,매일 12:00 ~ 22:00 · 브레이크타임 매일 15:00 ~ 17:30,https://place.map.kakao.com/1928466344?openhour=1,053-754-8080,no_link,
휘게101,카페,4.0,30건,https://place.map.kakao.com/1416142537#comment,리뷰 109,https://place.map.kakao.com/1416142537#review,인천 남동구 인하로511번길 10-5,(지번) 구월동 1173-19,월~토 12:00 ~ 23:00,https://place.map.kakao.com/1416142537?openhour=1,상세보기,https://place.map.kakao.com/1416142537,https://www.instagram.com/hygge101
무우루,카페,(30),후기 미제공,no_link,리뷰 115,https://place.map.kakao.com/1547531940#review,전남 구례군 문척면 죽연길 6,(지번) 문척면 죽마리 598-1,영업시간 수~토 11:00 ~ 18:00,https://place.map.kakao.com/1547531940?openhour=1,061-782-7179,https://place.map.kakao.com/1547531940,http://blog.naver.com/ggamaji
성산옥탑,"돈까스,우동",4.1,41건,https://place.map.kakao.com/137722576#comment,리뷰 64,https://place.map.kakao.com/137722576#review,제주특별자치도 서귀포시 성산읍 일출로 270-8 2층,(지번) 성산읍 성산리 136-13,영업시간 매일 11:00 ~ 16:00,https://place.map.kakao.com/137722576?openhour=1,064-782-5050,no_link,https://jejuseongsanoktop.modoo.at
비밀공간,카페,4.3,21건,https://place.map.kakao.com/994177500#comment,리뷰 122,https://place.map.kakao.com/994177500#review,경북 경주시 포석로1068번길 11 1층,(지번) 황남동 241-9,매일 11:00 ~ 21:00,https://place.map.kakao.com/994177500?openhour=1,070-7740-1068,no_link,https://www.instagram.com/bimil._.place/
어버트피,카페,3.9,16건,https://place.map.kakao.com/1727114318#comment,리뷰 96,https://place.map.kakao.com/1727114318#review,경기 안양시 만안구 안양로323번길 21 1층,(지번) 안양동 1195-118,"월,화,목,금,토,일 12:00 ~ 22:00",https://place.map.kakao.com/1727114318?openhour=1,상세보기,https://place.map.kakao.com/1727114318,https://www.instagram.com/abutpi_coffee_bar
킷사텐,디저트카페,3.9,22건,https://place.map.kakao.com/1006216052#comment,리뷰 24,https://place.map.kakao.com/1006216052#review,경기 부천시 부일로449번길 16 오케이빌딩 1층,(지번) 심곡동 380-19,"수,목 13:00 ~ 22:00",https://place.map.kakao.com/1006216052?openhour=1,상세보기,https://place.map.kakao.com/1006216052,http://www.instagram.com/kissaten_
그레이비,이탈리안,4.5,14건,https://place.map.kakao.com/27457932#comment,리뷰 7,https://place.map.kakao.com/27457932#review,경북 포항시 북구 삼호로 460 1층,(지번) 환호동 282-10,화~일 12:00 ~ 21:00 · 브레이크타임 화~일 15:00 ~ 17:30,https://place.map.kakao.com/27457932?openhour=1,상세보기,https://place.map.kakao.com/27457932,
홍라드 2호점,카페,3.6,14건,https://place.map.kakao.com/551614331#comment,리뷰 134,https://place.map.kakao.com/551614331#review,경기 수원시 팔달구 화서문로16번길 15 2층,(지번) 신풍동 120-1,매일 12:30 ~ 23:00,https://place.map.kakao.com/551614331?openhour=1,070-4142-3736,no_link,https://www.instagram.com/hongrard.coffee/
토템오어,카페,3.1,40건,https://place.map.kakao.com/1723598209#comment,리뷰 131,https://place.map.kakao.com/1723598209#review,제주특별자치도 제주시 한경면 용금로 440 1층,(지번) 한경면 조수리 1365-5,Hidden Link,https://map.kakao.com/?q=%EB%85%B8%ED%82%A4%EC%A6%88%EC%A1%B4,064-800-7000,https://place.map.kakao.com/1723598209,https://www.instagram.com/totem.ore
그라운드62,갤러리카페,3.3,21건,https://place.map.kakao.com/656948782#comment,리뷰 3,https://place.map.kakao.com/656948782#review,서울 종로구 평창길 62 1층,(지번) 평창동 574-8,화~일 10:30 ~ 21:00,https://place.map.kakao.com/656948782?openhour=1,0507-1442-4008,no_link,https://www.instagram.com/ground62_/
바하리야,카페,3.7,6건,https://place.map.kakao.com/1854039297#comment,리뷰 123,https://place.map.kakao.com/1854039297#review,경기 여주시 점봉길 43,(지번) 점봉동 174-6,매일 11:00 ~ 21:30,https://place.map.kakao.com/1854039297?openhour=1,031-881-3345,no_link,https://www.instagram.com/cafe_bahariya/
홍차가게소정,카페,4.5,18건,https://place.map.kakao.com/15956645#comment,리뷰 55,https://place.map.kakao.com/15956645#review,충북 옥천군 군북면 성왕로 1837,(지번) 군북면 소정리 220,영업시간 수~일 13:00 ~ 18:00,https://place.map.kakao.com/15956645?openhour=1,043-731-7336,no_link,http://blog.naver.com/mw278
견과류,카페,4.2,14건,https://place.map.kakao.com/380361230#comment,리뷰 24,https://place.map.kakao.com/380361230#review,부산 수영구 광서로10번길 17,(지번) 광안동 1079-11,"월,수,목,금,토,일 12:00 ~ 22:00",https://place.map.kakao.com/380361230?openhour=1,상세보기,https://place.map.kakao.com/380361230,https://www.instagram.com/kafe_day
커피명가보스케,카페,3.9,14건,https://place.map.kakao.com/1522671175#comment,리뷰 67,https://place.map.kakao.com/1522671175#review,경북 경주시 현곡면 용담로 477-57,(지번) 현곡면 하구리 979-12,매일 10:00 ~ 21:30,https://place.map.kakao.com/1522671175?openhour=1,054-775-0070,no_link,https://www.instagram.com/co_bosque
